# Count	Angle
1.000000000000000000e+00 2.721572864486134489e-04
3.000000000000000000e+00 6.977867269096028674e-04
5.000000000000000000e+00 1.238008709033166458e-03
7.000000000000000000e+00 1.716841829551779466e-03
9.000000000000000000e+00 1.915332482074452464e-03
1.100000000000000000e+01 2.295943424025144800e-03
1.300000000000000000e+01 2.467832236519005868e-03
1.500000000000000000e+01 2.658137707494352252e-03
1.700000000000000000e+01 2.772730249156926154e-03
1.900000000000000000e+01 2.862767246177520212e-03
2.100000000000000000e+01 2.979406083226925767e-03
2.300000000000000000e+01 3.010100514029401004e-03
2.500000000000000000e+01 2.934387584716628954e-03
2.700000000000000000e+01 3.192220803457420774e-03
2.900000000000000000e+01 3.040794944831876241e-03
3.100000000000000000e+01 3.126739351078806992e-03
3.300000000000000000e+01 3.222915234259896011e-03
3.500000000000000000e+01 3.165618963428608844e-03
3.700000000000000000e+01 3.237239301967717586e-03
3.900000000000000000e+01 3.294535572799004754e-03
4.100000000000000000e+01 3.272026323543856131e-03
4.300000000000000000e+01 3.407081819074747001e-03
4.500000000000000000e+01 3.617850243918409921e-03
4.700000000000000000e+01 3.452100317585044247e-03
4.900000000000000000e+01 3.595340994663261732e-03
5.100000000000000000e+01 3.849081622630389811e-03
5.300000000000000000e+01 4.049618570539894463e-03
5.500000000000000000e+01 4.113053727531676591e-03
5.700000000000000000e+01 4.395442490914448254e-03
5.900000000000000000e+01 4.581655371116131331e-03
6.100000000000000000e+01 4.898831156075041972e-03
6.300000000000000000e+01 5.183266214844645288e-03
6.500000000000000000e+01 5.833988147857119798e-03
6.700000000000000000e+01 6.677061847231771478e-03
6.900000000000000000e+01 7.315506007923256067e-03
7.100000000000000000e+01 8.541236944635431302e-03
7.300000000000000000e+01 9.965458533870281271e-03
7.500000000000000000e+01 1.171504108961136763e-02
7.700000000000000000e+01 1.283436466620829601e-02
7.900000000000000000e+01 1.394345676587106786e-02
8.100000000000000000e+01 1.457576204040205575e-02
8.300000000000000000e+01 1.501571554857086647e-02
8.500000000000000000e+01 1.501571554857086647e-02
8.700000000000000000e+01 1.501162295779720317e-02
8.900000000000000000e+01 1.499116000392888663e-02
9.100000000000000000e+01 1.477425269292472962e-02
9.300000000000000000e+01 1.486838228071898568e-02
9.500000000000000000e+01 1.493591002848443199e-02
9.700000000000000000e+01 1.495228039157908521e-02
9.900000000000000000e+01 1.463919719739383875e-02
1.010000000000000000e+02 1.379612349801918533e-02
1.030000000000000000e+02 1.287733686933176247e-02
1.050000000000000000e+02 1.182758733588711031e-02
1.070000000000000000e+02 1.003912516779622253e-02
1.090000000000000000e+02 8.584209147758897762e-03
1.110000000000000000e+02 7.340061552565235910e-03
1.130000000000000000e+02 6.738450708836721953e-03
1.150000000000000000e+02 6.059080640408604293e-03
1.170000000000000000e+02 5.627312313787120185e-03
1.190000000000000000e+02 5.078905150116229221e-03
1.210000000000000000e+02 4.540729463379497392e-03
1.230000000000000000e+02 4.573470189568804717e-03
1.250000000000000000e+02 4.254248109223062423e-03
1.270000000000000000e+02 4.088498182889696748e-03
1.290000000000000000e+02 3.967766755066627453e-03
1.310000000000000000e+02 3.752905739449300792e-03
1.330000000000000000e+02 3.556461382313459881e-03
1.350000000000000000e+02 3.355924434403955228e-03
1.370000000000000000e+02 3.419359591395737356e-03
1.390000000000000000e+02 3.486887339161182792e-03
1.410000000000000000e+02 3.319091117440985030e-03
1.430000000000000000e+02 3.087859738729005141e-03
1.450000000000000000e+02 3.206544871165242349e-03
1.470000000000000000e+02 3.222915234259896011e-03
1.490000000000000000e+02 3.108322692597321676e-03
1.510000000000000000e+02 3.149248600333955615e-03
1.530000000000000000e+02 2.954850538584945924e-03
1.550000000000000000e+02 2.999869037095242736e-03
1.570000000000000000e+02 2.967128310905935845e-03
1.590000000000000000e+02 2.895507972366827103e-03
1.610000000000000000e+02 2.911878335461480331e-03
1.630000000000000000e+02 2.748174704514946311e-03
1.650000000000000000e+02 2.699063615230985758e-03
1.670000000000000000e+02 2.336869331761778305e-03
1.690000000000000000e+02 2.027878728350194712e-03
1.710000000000000000e+02 1.905101005140293980e-03
1.730000000000000000e+02 1.426267884621680972e-03
1.750000000000000000e+02 1.055888419605146905e-03
1.770000000000000000e+02 6.568608191729692538e-04
1.790000000000000000e+02 2.332776740988115160e-04
